Email,Name,Password
anushreeshah24@gmail.com,Anushree Shah,anu@123
akbar.sayakov@gmail.com,Akbar Sayakov,akb@123
kevin.lam@gmail.com,Kevin Lam,kev@123
mike.wu@gmail.com,Mike Wu,mik@123
ross.geller@gmail.com,Ross Geller,ros@123
rachel.green@gmail.com,Rachel Green,rac@123
monica.geller@gmail.com,Monica Geller,mon@123
chandlerbing@gmail.com,Chandler Bing,cha@123
phoebe.buffay@gmail.com,Phoebe Buffay,pho@123
joey.tribbiani@gmail.com,Joey Tribbiani,joe@123
sheldon.cooper@gmail.com,Sheldon Cooper,she@123
amy.f@gmail.com,Amy Farrah Fowler,amy@123
penny.h@gmail.com,Penny Hofstadter,pen@123
leonard.hofstadter@gmail.com,Leonard Hofstadter,leo@123
raj.koothrappali@gmail.com,Rajesh Koothrappali,raj@123
